Pillar,Initiatives/Project,Customer/Business Problem Statement,MLP / Parity / Differentiation,KPIs/OKRs,"Priority 
(A, B, C)","Incept/Build in Quarter
(Q2/Q3/Q4)","Desired Launch
 Quarter
(Q2/Q3/Q4)","Inception Ready?
(Y/N)",Driving Team,Dependent Team,Overall Initaitive Sizing (Q3/Q4),Martech,Communications,UX,AdTech,CPG Media,Traffic Innovation (Project X),PZN,ShopCX- INTERNAL USE ONLY,ShopCX - UI Platform,ShopCX- Pharmacy,ShopCX- Land & Nav,ShopCX - Unified Search,ShopCX-Search&Browse,Exp & Opt (Target),Cart & Checkout,UMA,Tax,Catalog,UX.1,UCA,"
DigitalLabs",EPE,Offer Management,Offer Redemption,Payments,Omnichannel,Digital Order Management System (DOMS),MFC,Acupick,Transportation Services,Pickup Experience,VPOS,Demand Planning,Store Mobility,OSS,Subscription,Rewards,Auto Replenishment,J4U_Clipping/Instant Allocation,Partnership Rewards,"Customer Self Service (Web/Mobile)- (IVR, Chat, social media)",CS Analytics,ECHO,CRM Salesforce,Digital Trust & safety,Functional FAQs,Data Engineering,CDP,Analytics,Data Science,Retail / POS,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80
Shopper Experience,Substitutions // Show additional substitutes to picker in case the substitute is unavailable,"As a customer, I want to specifcy how many of teh substitutes I want.",Parity,"In 2021, Reduce customer support refunds and complaints  by 50%. 
Decrease OOS cancellations by 25%. 
Decrease substitutes when customer said DoNotSub by 50%.",A,Q2,Q2,Y,C&C,,,,,,,,,,X,,,,,S,,S,,,,,,,,,,,,S,,"Is this Smart Sub phase2?
Need more details",,,,,,,,,,,,,,X,,,,,,S,S,,,,,,,,,,,,,,,,,,
Shopper Experience,Substitutions // Shopper Chat discovery and implementation. Picker will contact customer if chosen subs is not available.  ,"As a picker, I want to see more substitution choices to pick in case the substitute is OOS. As a company, this helps decrease OOS cancellations. ",Parity,Decrease OOS cancellations by 5%,B,Q2,Q2,Y,C&C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Substitutions // Save customers past subs selection to recommend items in future. This improves relevancy and saves time. Let customer choose qty of substitute in web. Improvements to UX for subs based on customer feedback and analytics,"As a customer, I want to be alerted when there is a change to my substitutes. As a customer, we want the customers input when an exception happens, so that me can get customers preference and keep them informed.  ",Parity,"In 2021, Reduce customer support refunds and complaints  by 25%. 
Decrease OOS cancellations by 10%.",A,Q3,Q4,Y,C&C,,L,XS,XS,,,,,,X,,,,,,,,,,,L,,,,,,,,S, ,"XL (As per Sharath, AcuPick is driving team)",,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,Substitutions // Screens for merchandising team to boost subs results to increase relevancy and revenue,"As a customer, I want my past preferences be taken into account so that my substitutions are relevant. As a company, the more customer feedback and analytics data we can ingest, the more relevant the substitutions.  ",Parity,"In 2021, Reduce customer support refunds and complaints  by 25%. 
Decrease OOS cancellations by 10%.",A,Q3,Q3,Y,C&C,,,,,,,,,,X,,,,,x,,,M,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,X,S,X,,,,,,,,,,,,,,,,,,
Shopper Experience,Substitutions // IVR changes for subs,"As a merchandizer, I want to boost certain items so that customers can get a more relevant product. As an org, we want to make substitutes more relevant and promote our own brands. ",Parity,,C,Q3,Q4,,C&C,,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,S,,,,,,,,,,,,,,,,,,
Shopper Experience,"Substitutions // • Capture 9 digit zip code of delivery address
• Integrate tax engine to calculate tax and fees at time of fulfillment
• Refunds","As a customer, I want the IVR system to be aware of my subs choices, so that my calls are handled better,. ",Parity,,C,Q3,Q3,,C&C,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Taxation - Phase 2 // • Integrate tax engine to calculate tax and fees on Retail POS
• Refunds ",Taxes and Fees are not accurately being determined today thus making us suspectible to being charged penalties and interest when we are audited.,Parity,"Compliance - Decrease taxes, penalties and interest by 20%",A,Q2/Q3,Q3,N,Taxation,,,XS,XS,, , , , , , , , , , , ,"XS - Pass 9 digit zip to tax

X - Pricing Service -  will call tax engine at Fulfillment to get tax and fee details",S, , ,NA -- Receipt changes no UI needed for 9 digit zip,M, ,X , , ,S, ,S,X, , , ,X ,Continue to use 5 digit zip, ,?, , ,"X- If cart and checkout is handling taxes, there is nothijng additional that AR team needs to build", , ,S,,X, ,, , , ,XS, , , ,,,,,,,,,,,,,,,,
Shopper Experience,"Taxation - Phase 3 // • Customers request tax exemption by filling out appropriate documentation
• Certificates will be reviewed and approved
• TBD if tax exemption is controlled at order level or account level.
• Orders will be identified as tax exempt so the appropriate tax will be determined during fulfillment
• Refunds will support  tax exempt orders",Taxes and Fees are not accurately being determined today thus making us suspectible to being charged penalties and interest when we are audited.,Parity,"Compliance - Decrease taxes, penalties and interest by 20%",A,Q4,"Q1 (pilot)
Q2 (rollout)",N,Taxation,,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , ,, , , , , ,X, ,,,,,,,,,,,,,,,,
Shopper Experience,Taxation Exemption Certificates (online) // Enable Passwordless Experience across all platforms to enable contemporary and frictionless capabilities to enable customers to start shopping,We do not support Tax Exemptions online. We have an opportunity to allow Tax Exempt customers to place orders like our competitors. ,Parity,Drive Growth - Increase brand new customers,B,Q4/Q1 2022,Q2 (pilot/rollout),N,Taxation,,,XS,XS,, , , , , , , , , , , ,X ,X, , ,X,X, ,XS, , ,X, ,M,X, , , ,X, , ,?,?, ,"X- If cart and checkout is handling taxes, there is nothijng additional that AR team needs to build", , ,S,,X, ,,X, , ,XS, , , ,,,,,,,,,,,,,,,,
Shopper Experience,"Identity - Passwordless Sign in Experience for Web // New Registration flow for web using OTP
Minimal customer input during sign up
Progressive profiling","Remove the need for customers to create and remember a password, improving the experience will lead to better retention.",Differentiation,"Elevating Our Design & Voice 
Higher customer activity",A,Q2,Q2,Y,UCA,,,,,,,,,,,,,,,,,,,,,XS,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Identity - OTP based Web Registration and progressive profiling // Build and manage diateraty prerences and restrictions in the new preference center
Make the the preference data avalable for CDP to consume for UMA personalization ","Reduce the steps for customers to create an account or sign in, improving the experience will lead to more acquisition",Differentiation,"Elevating Our Design & Voice 
Higher customer conversion",A,Q2,Q2,Y,UCA,,,,,,,,,,X,M,,M,,,,S,,,,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Dietary preference for UMA // Build Social Sign in capabilty for mobile apps (UMA)
Apple Sign in for iOS
Google Sign in for Android","Creates more personalization capabilities and helps the customer shop faster, as we're curating their experience towards their dietary needs",Parity ,Tailored Mobile App Experience,A,Q2,Q2,Y,Personalization,,,,,,,,,x,,,,,,,,,X,,,M,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,Social Sign in for UMA // Build Social Sign in capabilty for Website,Help customers QUICKLY get into UMA with a single tap,Differentiation,"Tailored Mobile App Experience
Elevating Our Design & Voice ",A,Q2,Q2- Q3,N,UCA / UMA,,,,,,,,,,,,,,,,,,X,,,M,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,Social Sign in for Web // Disaster Recovery for UCA Services includes HD Insight Upgrade,Help customers QUICKLY get into the web with a single tap,Differentiation,"Elevating Our Design & Voice 
Higher customer conversion",B,Q3,Q3,N,UCA,,,,,,,,,,,,,,,,,,,,,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,Disaster Recovery for UCA  //  Github (Code Repo) Migration - Split and Creating New Pipe line,,Parity,,A,Q1,Q2,Y,UCA,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Github (Code Repo) Migration // Event hub to Confluent Kafka Migration,,Parity,,B,Q1,Q2,Y,UCA,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Event hub to Confluent Kafka Migration // Decommission of EMLSE/EMDB , ESCS3/CHAMP",,Parity,,A,Q2,Q3,Y,UCA,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Retire Legacy CHAMP and EMCL // Moving to Azure Kubernetes Service,,Parity,,A,Q2,Q4,Y,UCA,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Azure VMs to AKS // Modify email-marketing-feed job by integrating Denode to read the marketing feed.,,Parity,,B,Q2,Q4,N,UCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"TSEO Email Optimization // Provide ability for customers to build multiple carts based on item eligibility. For e.g. if a customer wants to have hot chicken delivered and pick up a bag of chips, they should be able to do that with one cart, one transaction.",,Parity,,B,Q2,Q2,Y,UCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Inventory Availability & Authorization: Phase Ic
2. Channel-based Assortment - Phase II // Provide ability for customers to get visibility into inventory in the future (up to a week) with advanced DS algorithms dictating Low Inventory",Customers are currently prevented from searching for items that are not eligible for items in that channel. Customers are also prevented from making a single payment for multiple channels based on item eligibility,Parity,"Increased customer satisfaction, increased conversions due to reduced time to build multiple carts",A,Q2,Q3,Y,Digital Catalog,,,,S,,,,,,,,,S,,S,,XL,S,,M,M,,,,,,S,,S,,?,,,L,,,?,,,,,,,,?,,,,,,,L,,,,,,,,,,,,,,,,,,
Shopper Experience,Inventory Availability & Authorizations (includes FAR):Phase 2.0 - Future inventory availability signal // Ability for customers to get guaranteed inventory availability for ALL items (including perishables) which is not available through FaR systems currently,"Currently, customers do not get guaranteed inventory availability for orders made into the future. The introduction of true Perpetual Inventory will resolve this issue.",Parity,"Reduced OOS, Increased customer satisfaction, increased availability",B,Q3,Q4,N,Digital Catalog,,M,,,,,,,,,,,,,,,,S,,L,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,x,,,,,,,,,,,,,,,,,,
